DATA.ELEMENT,COMPUTED.COLUMN.CODE,CONVERTED.FROM,DATA.TYPE,DATABASE.USAGE.TYPE,DEFAULT.DISPLAY.SECURE,DEFAULT.DISPLAY.SIZE,DEFAULT.INPUT.PROMPT,DEFAULT.SAMPLE.DATA,DEFAULT.ZERO.PAD,DERIVED.SEC.PTR,DT1,DT2,DT3,DT4,DT5,ELEMENT.ASSOC.NAME,ELEMENT.ASSOC.TYPE,ELEMENT.POINTED.FROM,ELEMENT.POINTED.TO,FIELD.PLACEMENT,INFORM.CONVERSION.STRING,INFORM.FORMAT.STRING,MAXIMUM.STORAGE.SIZE,PURPOSE,REPORT.HEADER,SOURCE,TRUNCATION.FLAG,VALIDATION.TABLE,TOOLCDD.ADD.DATE,TOOLCDD.ADD.OPERATOR,TOOLCDD.CHANGE.DATE,TOOLCDD.CHANGE.OPERATOR,DataDatetime
TEMPLATE_ENTRY_DATE,,,D,,,10,,,,,,,,,,ASSOCIATION_NAME,ASSOCIATION_TYPE,,,,,,,,,SOURCE,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
TEMPLATE_ENTRY_MULTI-VALUED_TEXT,,,S,A,,50,,,,,,,,,,ASSOCIATION_NAME,ASSOCIATION_TYPE,,,,,,,,,SOURCE,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
TEMPLATE_ENTRY_NUMERIC,,,,N,,8,,,,,,2,,,,ASSOCIATION_NAME,ASSOCIATION_TYPE,,,,,,,,,SOURCE,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
TEMPLATE_ENTRY_TEXT_KEY,,,,K,,1000,,,,,,,,,,ASSOCIATION_NAME,ASSOCIATION_TYPE,,,,,,,,,SOURCE,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
TEMPLATE_ENTRY_TEXT,,,,,,1000,,,,,,,,,,ASSOCIATION_NAME,ASSOCIATION_TYPE,,,,,,,,,SOURCE,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
TEMPLATE_ENTRY_TIME,,,T,,,10,,,,,,,,,,ASSOCIATION_NAME,ASSOCIATION_TYPE,,,,,,,,,SOURCE,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
DataDatetime,,,DT,DT,,26,,,,,,,,,,,,,,,,,,,,SYS_CCDW,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
Audit_Key,,,N,,,8,,,,,,,,,,,,,,,,,,,,SYS_CCDW,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
EffectiveDatetime,,,DT,DT,,8,,,,,,,,,,,,,,,,,,,,SYS_CCDW,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ExpirationDatetime,,,DT,DT,,8,,,,,,,,,,,,,,,,,,,,SYS_CCDW,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CurrentFlag,,,,,,1,,,,,,,,,,,,,,,,,,,,SYS_CCDW,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
#:DENY.ACCESS.EXCEPT.TO.CLASS,,,S,A,,8,,,,,,,,,,DENY_ACCESS,S,,,,,,,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
#:INQUIRY.ONLY.PROCESS.LIST,,,S,A,,8,,,,,,,,,,INQUIRY_ONLY,S,,,,,,,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
#:LIMITED.TO.PROCESS.LIST,,,S,A,,8,,,,,,,,,,LIMITED_TO,S,,,,,,,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
#:SA.AWARD.CATEGORY,"string[] xlResult1; , key xlKeyAwards for file Awards;, xlKeyAwards = vlSaAward; xlResult1 = vlAwCategory;, return xlResult1;",,,A,N,20,,,N,,,,,,,,,,,0,,20L,0,To retrieve the category associated with an SA.AWARD,Award Categroy,SA.ACYR,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
#:SYS.CLASS.DESCRIPTION,,,S,,,1200,,,,,,,,,,,,,,,,,,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
#:SYS.CLASS.ID,,,S,K,,30,,,,,,,,,,,,,,,,,,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
AC.DESC,,,D,D,,500,,,,,,,,,,,,,,,,,,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACAD.CREDENTIALS.ID,,,,K,N,10,,,N,,,,,,,,,,,0,,1R,10,System-generated sequential key to file.,,ACAD.CREDENTIALS,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACAD.PROGRAM.REQMTS.ID,,,,,,14,,,,,,,,,,,,,,,,,,,,ACAD_PROGRAM_REQMTS,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACAD.TRANSCRIPT.ADDRESS,,,,L,,50,,,,,,,,,,,,,,32,,30L,30,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACPG.ACAD.LEVEL,,,,D,N,5,Acad Level,,N,ACAD.LEVELS.ID,,,,,,,,,,9,,35L,5,"The academic level associated with this program.  This, is the academic level that will be used for any, student in this program.  It defaults from the, department academic level, but can be changed.",Acad Level,ACAD.PROGRAMS,N,ACAD.LEVELS,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACPG.CATALOGS,,,,Q,,500,,,,,,,,,,,,CAT.ACAD.PROGRAMS,CATALOGS.ID,3,,35L,5,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACPG.DEGREE,,,,D,N,5,Degree,,N,DEGREES.ID,,,,,,,,,,4,,35L,5,"Degree awarded for the successful completion of this, academic program.  This will be the degree assigned, to any student enrolled in this program.  This is not, kept on the student's record, so once a student has, been assigned to this academic program, the student, will receive whatever degree is attached to the, academic program when the student completes the, requirements.",Degree,ACAD.PROGRAMS,N,DEGREES,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACPG.GRADE.SCHEME,,,,D,N,5,Grade Scheme,,N,GRADE.SCHEMES.ID,,,,,,,,,,28,,35L,5,"The grade scheme associated with this academic, program.  It is used to default to the academic, requirements for this program whenever minimum, grades are specified.",Grade Scheme,ACAD.PROGRAMS,N,GRADE.SCHEMES,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACPG.LOCATIONS,,,,A,N,5,Locations,,N,LOCATIONS.ID,,,,,,,,,,16,,35L,5,"Locations at which this program is offered.  If, entered, then one of the locations must be assigned, to the students in the program.  Not otherwise used, by the system.",Locations,ACAD.PROGRAMS,N,LOCATIONS,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACPG.STUDENT.SELECT.FLAG,,,,D,N,1,Student Selectable,,N,,,,,,,,,,,18,,3L,1,"Says whether or not this academic program can be, used by a person in evaluating an academic program, change.  Some academic programs may be set up as, templates or basic requirements, but not one is, to actually enroll in those.  For that type of, academic program, this field would be No., Regular programs that should be usable by, students would have this field set to Yes.",Student Select,ACAD.PROGRAMS,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACPG.TERM.LENGTH,,,N,D,N,2,Term Length,,N,,N,0,N,N,,,,,,73,MD0,3R,0,"This is the number of months in a typical term for this, program.  It is used as a default to FPST.TERM.LENGTH, where it can be changed as needed.","Term, Length",ACAD.PROGRAMS,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACPG.TYPES,,,,L,,50,,,,,,,,,,,,,,44,,30L,5,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACPR.PROGRAM.REVIEW,"string xResult1; , xResult1 = SGetReqmtText(""PROG.REVIEW"", vAcprAcadProgram, """", vAcprCatalog, """", """", ((string)65), """", """", """", """");, return xResult1;",,,I,,22500,,,N,,,,,,,,,,,0,,65L,0,"To display all the requirements of the program, *, * 1998 July 7  01:12pm  Ms. Gini Anne, *, Logical File Name changed from ACAD.PROGRAM.REQMTS to , ST.VIRTUAL.FIELDS to remove temporarily for Oracle, activity 18230",PROGRAM REVIEW,ST.OBSOLETE.FIELDS,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACR.COMMENTS,,,,C,N,250,Comments,,N,,,,,,,,,,,8,,65L,80,Free form text about this requirement.,Comments,ACAD.REQMTS,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACR.PRINTED.SPEC,,,,C,N,1000,,The 515 MATH course is a prerequisite for this course.,N,,,,,,,,,,,33,,60L,60,"The way that the prerequisite is to read when printed, or viewed on the web.",,ACAD.REQMTS,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ACRB.LABEL,,,,D,N,35,Label,FRESHM.CHEM,N,,,,,,,,,,,1,,20L,40,"The label is displayed on the evaluation report and during the , entry of exceptions in order to better identify the, subrequirement.",,ACAD.REQMT.BLOCKS,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ADDRESS.ID,,,,K,,25,,,,,,,,,,,,,,0,,10R,10,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ADDRESS.LINES,,,,L,,5000,,,,,,,,,,,,,,5,,30L,30,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
AR.INVOICE.ITEMS.ADDOPR,,,,D,N,20,Added By,,N,,,,,,,,,,,17,,8L,15,Envision-maintained login of who added this record.,Added By,AR.INVOICE.ITEMS,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
AR.PAYMENT.ITEMS.ADDOPR,,,,D,N,10,Added By,,N,,,,,,,,,,,5,,8L,15,Envision-maintained login of who added this record.,Added By,AR.PAYMENT.ITEMS,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
AR.PAYMENT.ITEMS.CHGOPR,,,,D,N,10,Changed By,,N,,,,,,,,,,,7,,8L,15,Envision-maintained login of who last updated this rec.,Changed By,AR.PAYMENT.ITEMS,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CALS.CS.NAME,"string xResult1; , key xKeyCourseSections for file CourseSections;, if (vCalsType == ""CS"") {,  xKeyCourseSections = vCalsPointer; xResult1 = vSecName;, } else {,  xResult1 = """";, }, return xResult1;",,,I,N,50,,,N,,,,,,,,,,,0,,21L,0,"Get the Course Section name for CALS.TYPE = ""CS""",Section Name,CALENDAR.SCHEDULES,N,,3/8/2000,PAS,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CIP.FORMER.CODES,,,,A,,100,,,,,,,,,,,,,,,,,,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CIP.FORMER.YEAR,,,,A,,100,,,,,,,,,,,,,,,,,,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CITY,,,,D,,200,,,,,,,,,,,,,,3,,25L,30,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CNTY.DESC,,,,D,,1000,,,,,,,,,,,,,,1,,20L,20,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
COMPUTED.COLUMN.CODE,,,,H,,2500,Computed Column Code,,N,,,,,,,,,,,106,,72L,72,Stores the code of the computed column language,,TOOLCDD,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
COUNTRY,,,,D,,50,,,,,,,,,,,,,,11,,20L,8,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
COUNTY,,,,D,,50,,,,,,,,,,,,,,10,,30L,15,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
COURSE.SEC.MEETING.ADDDATE,,,D,D,,20,,,,,,,,,,,,,,11,D2/,8R,0,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CRS.COURSE.TYPES,,,,L,,250,,,,,,,,,,,,,,32,,30L,5,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CRS.DESC,,,,C,,2500,,,,,,,,,,,,,,10,,50L,0,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CRS.SCHOOLS,,,,I,,50,,,,,,,,,,,,,,0,,5L,0,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CRS.TITLE,,,,T,,250,,,,,,,,,,,,,,1,,40L,0,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CRSP.ACAD.PROGRAMS,,,,K,,20,Academic Programs,,N,ACAD.PROGRAMS.ID,,,,,,CRSP.PGM.CATALOGS,K,,,1,,20L,20,"Shows what academic programs reference this course in, their requirements.  References to this course can be, to include the course, or to take a number of courses, from a course list where this course is in the list., Displayed and used for reporting purposes, but this, field drives no processing.  It is not maintainable.",Acad Programs,COURSE.PROGRAMS,,ACAD.PROGRAMS,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CRSP.CATALOGS,,,,K,,35,Catalogs,,N,CATALOGS.ID,,,,,,CRSP.PGM.CATALOGS,D,,,5,,35L,5,"This is the list of catalogs in which this course/, academic program combination is active., , Displayed and used for reporting purposes, but this, field drives no processing.  It is not maintainable.",Catalogs,COURSE.PROGRAMS,,CATALOGS,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CS.AWARD,"string[] xlResult1; , key xKeySaAcyr for file SaAcyr;, xKeySaAcyr = vCsStudentId; xlResult1 = vlSaAward;, return xlResult1;",,,I,N,100,,,N,,,,,,,,,,,0,,10L,0,To virtualate the SA.AWARD field from SA.ACYR.,,CS.ACYR,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CS.YEAR,"string xResult1; , xResult1 = File.Instance();, return xResult1;",,,K,N,4,,,N,,,,,,,,,,,0,,4L,0,The file suite year for the file.,,CS.ACYR,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
CTRY.DESC,,,,D,,500,,,,,,,,,,,,,,1,,20L,30,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
DEFAULT.SAMPLE.DATA,,,,D,,150,Sample Data,,,,,,,,,,,,,26,,60L,160,String to use as sample data in painters & previews,,TOOLCDD,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
DENY.ACCESS.EXCEPT.TO.CLASS_PROCESS.DESCRIPTION,,,S,A,,500,,,,,,,,,,DENY_ACCESS,S,,,,,,,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
DENY.ACCESS.EXCEPT.TO.CLASS,,,,L,N,35,Privileged,,N,,,,,,,DENY_ACCESS,S,,,8,,35L,32,List of elements which can only be seen/altered by this clas,Privileged,SECLASS,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
DERIVED.SEC.PTR,,,,L,,65,,,,,,,,,,,,,,103,,30L,30,,,TOOLCDD,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
DIV.DESC,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ELEMENT.ASSOC.NAME,,,,D,,25,Association,,,,,,,,,,,,,27,,8L,28,Name of group of associated multivalues (when DBU type=A),,TOOLCDD,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ELEMENT.POINTED.FROM,,,,D,,32,Pointed to from Element,,,,,,,,,,,,,30,,28L,32,Name of a data element which points back to this element,,TOOLCDD,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ELEMENT.POINTED.TO,,,,D,,32,Points to Element,,,,,,,,,,,,,29,,28L,32,Name of the data element (KEY type) this X/Q element points,,TOOLCDD,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ELF.TRANSACTIONS.ADDOPR,,,,D,,12,Added By,,N,,,,,,,,,,,5,,8L,15,Envision-maintained login of who added this record.,Added By,ELF.TRANSACTIONS,,,2/14/1996,SMG,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ELF.TRANSACTIONS.CHGOPR,,,,D,,12,Changed By,,N,,,,,,,,,,,7,,8L,15,Envision-maintained login of who last updated this rec.,Changed By,ELF.TRANSACTIONS,,,2/14/1996,SMG,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ELFT.DESC,,,,D,,36,Description,,N,,,,,,,,,,,1,,30L,50,"Description of the translations.  Displayed but not, otherwise used except on resolution screens.",Description,ELF.TRANSLATE.TABLES,,,10/17/1995,SMG,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
FA.TRANSMITTALS.ADDDATE,,,D,D,N,8,,,N,,,,,,,,,,,30,D2/,8R,0,Envision-maintained date this record was added to file.,,FA.TRANSMITTALS,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
FA.TRANSMITTALS.CHGDATE,,,D,D,N,8,,,N,,,,,,,,,,,32,D2/,8R,0,,,FA.TRANSMITTALS,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
FAC.DIVISIONS,"string[] xlResult1; , key xlKeyDepts for file Depts;, xlKeyDepts = vlFacDepts; xlResult1 = vlDeptsDivision;, return xlResult1;",,,I,N,5,,,N,,,,,,,DEPT.LOAD,D,,,0,,5L,0,Retrieve the division for each FAC.DEPTS.,Division,FACULTY,N,,6/23/1997,JOSH,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
FAX.ELIG.RULES,,,,A,N,35,Eligibility Rules,,N,,,,,,,,,,,11,,35L,0,"Identifies the FA eligibility rules which were in, effect at the time the award was transmitted to AR.","Eligibility, Rules",FA.TRANSMITTALS,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
FAX.POSTING.ARP.DATE,"date[] xlResult1; , key xlKeyArPayments for file ArPayments;, xlKeyArPayments = vlFaxArPayments; xlResult1 = vlArpDate;, return xlResult1;",,D,A,N,8,,,N,,N,2,/,,,,,,,0,D2/,8R,0,"The date to be used when posting the FA.TRANSMITTALS, record to GL.  This is the date of any of the, AR.PAYMENTS records linked to the FA.TRANSMITTALS, record.",Posting Date,FA.TRANSMITTALS,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
FIRST.NAME,,,,D,,50,,,,,,,,,,,,,,3,,15L,30,,,,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
FNDSRC.ADD.OPERATOR,,,,D,N,8,,,N,,,,,,,,,,,11,,6L,15,"To record the login Id of the analyst who orginally, entered the record.",,FNDSRC,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
FNDSRC.CHANGE.OPERATOR,,,,D,N,8,,,N,,,,,,,,,,,13,,6L,15,"To record the Login Id of the analyst who made the, most recent change to the record",,FNDSRC,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
FNDSRC.DESC.IDX,,,,L,N,35,,,N,,,,,,,,,,,15,,10L,30,"Stores the index values for the index association, FNDSRC.DESC.INDEX which stores the results of the subroutine, S.FNDSRC.INDEX",,FNDSRC,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
HRP.ADR.CITY,"string xResult1; , key xKeyAddress for file Address;, xKeyAddress = vHrpPreferredAddress; xResult1 = vCity;, return xResult1;",,,I,N,50,,,N,,,,,,,,,,,0,,16L,0,ADDRESS city,,HRPER,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
HRP.ADR.LINES,"string[] xlResult1; , key xKeyAddress for file Address;, xKeyAddress = vHrpPreferredAddress; xlResult1 = vlAddressLines;, return xlResult1;",,,I,N,100,,,N,,,,,,,,,,,0,,30L,0,ADDRESS Address lines,,HRPER,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
HRP.LAST.PERIOD.PAID,,,D,A,N,8,Date Last Paid,,N,,N,2,/,,,,,,,151,D2/,8R,8,This is a list of dates last paid for an employee.,Date Last Paid,HRPER,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
HRP.PERSTAT.STATUS,"string[] xlResult1; , key xlKeyPerstat for file Perstat;, xlKeyPerstat = vlAllStatuses; xlResult1 = vlPerstatStatus;, return xlResult1;",,,I,N,250,,,N,,,,,,,,,,,0,,7L,0,get Employees status code from PERSTAT,,HRPER,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
HRP.PRI.DEPT.DESC,"string xResult1; , key xKeyDepts for file Depts;, xKeyDepts = vHrpPriDept; xResult1 = vDeptsDesc;, return xResult1;",,,I,N,50,,,N,,,,,,,,,,,0,,30L,0,"To retrieve the description of the department, associated with the primary position of the active, status",,HRPER,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
HRP.PRI.DEPT1,"string xResult1; , key xKeyPosition for file Position;, xKeyPosition = vHrpPriPos; xResult1 = vPosDept;, return xResult1;",,,I,N,5,,,N,,,,,,,,,,,0,,5L,5,"To retrieve the department associated with the, primary position of the active status., *",,HRPER,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
IFAF.P.AGI,,,N,D,N,10,AGI - Parent,49999,N,,N,2,N,N,,,,,,65,MD0,10R,8,This field is used to help calculate the income portion,"Parents, AGI",ISIR.FAFSA,N,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
