"TERMS.ID","TERM.DESC","TERM.START.DATE","TERM.CENSUS.DATES","TERM.END.DATE","TERM.REPORTING.YEAR","TERM.COMMENCEMENT.DATE","TERM.DROP.START.DATE","TERM.DROP.END.DATE","TERM.REG.START.DATE","TERM.REG.END.DATE","DataDatetime"
"1966CE","1966CE","1965-12-01","","1966-11-30","1966","","","","","","2020-02-01T01:45:01.759Z"
"1966FA","Fall Quarter 1966","1966-09-08","","1966-11-23","1966","","","","","","2020-02-01T01:45:02.118Z"
"1966WI","Winter Quarter 1966","1966-11-30","","1967-02-24","1966","","","","","","2020-02-01T01:45:02.009Z"
"1967CE","1967CE","1966-12-01","","1967-11-30","1967","","","","","","2020-02-01T01:45:02.118Z"
"1967SP","Spring Quarter 1967","1967-03-06","","1967-05-23","1966","","","","","","2020-02-01T01:45:01.915Z"
"1967SU","Summer Quarter 1967","1967-06-07","","1967-08-23","1966","","","","","","2020-02-01T01:45:01.993Z"
"1967FA","Fall Quarter 1967","1967-09-07","","1967-11-22","1967","","","","","","2020-02-01T01:45:01.962Z"
"1967WI","Winter Quarter 1967","1967-12-01","","1968-02-28","1967","","","","","","2020-02-01T01:45:01.853Z"
"1968CE","1968CE","1967-12-01","","1968-11-30","1968","","","","","","2020-02-01T01:45:01.962Z"
"1968SP","Spring Quarter 1968","1968-03-06","","1968-05-24","1967","","","","","","2020-02-01T01:45:01.775Z"
"1968SU","Summer Quarter 1968","1968-06-25","","1968-09-11","1967","","","","","","2020-02-01T01:45:01.821Z"
"1968FA","Fall Quarter 1968","1968-09-24","","1968-12-13","1968","","","","","","2020-02-01T01:45:01.806Z"
"1969CE","1969CE","1968-12-01","","1969-11-30","1969","","","","","","2020-02-01T01:45:01.790Z"
"1968WI","Winter Quarter 1968","1968-12-14","","1969-01-11","1968","","","","","","2020-02-01T01:45:01.743Z"
"1969WI","Winter Quarter 1969","1969-01-12","","1969-03-19","1968","","","","","","2020-02-01T01:45:02.087Z"
"1969SP","Spring Quarter 1969","1969-03-20","","1969-06-06","1968","","","","","","2020-02-01T01:45:02.134Z"
"1969SU","Summer Quarter 1969","1969-06-24","","1969-09-10","1968","","","","","","2020-02-01T01:45:01.712Z"
"1969FA","Fall Quarter 1969","1969-09-23","","1969-12-12","1969","","","","","","2020-02-01T01:45:01.696Z"
"1970CE","1970CE","1969-12-01","","1970-11-30","1970","","","","","","2020-02-01T01:45:01.696Z"
"1970WI","Winter Quarter 1970","1970-01-05","","1970-03-20","1969","","","","","","2020-02-01T01:45:01.915Z"
"1970SP","Spring Quarter 1970","1970-03-31","","1970-06-12","1969","","","","","","2020-02-01T01:45:01.978Z"
"1970SU","Summer Quarter 1970","1970-06-29","","1970-09-15","1969","","","","","","2020-02-01T01:45:02.056Z"
"1970FA","Fall Quarter 1970","1970-09-22","","1970-12-11","1970","","","","","","2020-02-01T01:45:02.025Z"
"1971CE","1971CE","1970-12-01","","1971-11-30","1971","","","","","","2020-02-01T01:45:02.025Z"
"1971WI","Winter Quarter 1971","1971-01-04","","1971-03-19","1970","","","","","","2020-02-01T01:45:01.775Z"
"1971SP","Spring Quarter 1971","1971-03-29","","1971-06-11","1970","","","","","","2020-02-01T01:45:01.821Z"
"1971SU","Summer Quarter 1971","1971-06-29","","1971-09-15","1970","","","","","","2020-02-01T01:45:01.900Z"
"1971FA","Fall Quarter 1971","1971-09-21","","1971-12-10","1971","","","","","","2020-02-01T01:45:01.868Z"
"1972CE","1972CE","1971-12-01","","1972-11-30","1972","","","","","","2020-02-01T01:45:01.868Z"
"1972WI","Winter Quarter 1972","1972-01-03","","1972-03-17","1971","","","","","","2020-02-01T01:45:02.134Z"
"1972SP","Spring Quarter 1972","1972-03-22","","1972-06-09","1971","","","","","","2020-02-01T01:45:01.696Z"
"1972SU","Summer Quarter 1972","1972-07-05","","1972-09-20","1971","","","","","","2020-02-01T01:45:01.759Z"
"1972FA","Fall Quarter 1972","1972-09-26","","1972-12-15","1972","","","","","","2020-02-01T01:45:01.728Z"
"1973CE","1973CE","1972-12-01","","1973-11-30","1973","","","","","","2020-02-01T01:45:01.728Z"
"1973WI","Winter Quarter 1973","1973-01-02","","1973-03-16","1972","","","","","","2020-02-01T01:45:01.978Z"
"1973SP","Spring Quarter 1973","1973-03-21","","1973-06-08","1972","","","","","","2020-02-01T01:45:02.040Z"
"1973SU","Summer Quarter 1973","1973-07-02","","1973-09-18","1972","","","","","","2020-02-01T01:45:02.103Z"
"1973FA","Fall Quarter 1973","1973-09-26","","1973-12-14","1973","","","","","","2020-02-01T01:45:02.071Z"
"1974CE","1974CE","1973-12-01","","1974-11-30","1974","","","","","","2020-02-01T01:45:02.071Z"
"1974WI","Winter Quarter 1974","1974-01-02","","1974-03-22","1973","","","","","","2020-02-01T01:45:01.806Z"
"1974SP","Spring Quarter 1974","1974-03-27","","1974-06-11","1973","","","","","","2020-02-01T01:45:01.868Z"
"1974SU","Summer Quarter 1974","1974-06-27","","1974-09-13","1973","","","","","","2020-02-01T01:45:01.946Z"
"1974FA","Fall Quarter 1974","1974-09-26","","1974-12-16","1974","","","","","","2020-02-01T01:45:01.915Z"
"1975CE","1975CE","1974-12-01","","1975-11-30","1975","","","","","","2020-02-01T01:45:01.915Z"
"1975WI","Winter Quarter 1975","1975-01-02","","1975-03-21","1974","","","","","","2020-02-01T01:45:01.712Z"
"1975SP","Spring Quarter 1975","1975-03-31","","1975-06-20","1975","","","","","","2020-02-01T01:45:01.743Z"
"1975SU","Summer Quarter 1975","1975-06-30","","1975-09-16","1974","","","","","","2020-02-01T01:45:01.790Z"
"1975FA","Fall Quarter 1975","1975-09-29","","1975-12-17","1975","","","","","","2020-02-01T01:45:01.775Z"
"1976CE","1976CE","1975-12-01","","1976-11-30","1976","","","","","","2020-02-01T01:45:01.775Z"
"1976WI","Winter Quarter 1976","1976-01-06","","1976-03-19","1975","","","","","","2020-02-01T01:45:02.025Z"
"1976SP","Spring Quarter 1976","1976-03-30","","1976-06-18","1975","","","","","","2020-02-01T01:45:02.087Z"
"1976SU","Summer Quarter 1976","1976-07-07","","1976-09-17","1975","","","","","","2020-02-01T01:45:01.681Z"
"1976FA","Fall Quarter 1976","1976-09-29","","1976-12-17","1976","","","","","","2020-02-01T01:45:02.134Z"
"1977CE","1977CE","1976-12-01","","1977-11-30","1977","","","","","","2020-02-01T01:45:02.134Z"
"1977WI","Winter Quarter 1977","1977-01-04","","1977-03-23","1976","","","","","","2020-02-01T01:45:01.868Z"
"1977SP","Spring Quarter 1977","1977-03-29","","1977-06-16","1976","","","","","","2020-02-01T01:45:01.931Z"
"1977SU","Summer Quarter 1977","1977-07-06","","1977-09-21","1976","","","","","","2020-02-01T01:45:02.009Z"
"1977FA","Fall Quarter 1977","1977-09-27","","1977-12-16","1977","","","","","","2020-02-01T01:45:01.978Z"
"1978CE","1978CE","1977-12-01","","1978-11-30","1978","","","","","","2020-02-01T01:45:01.978Z"
"1978WI","Winter Quarter 1978","1978-01-04","","1978-03-22","1977","","","","","","2020-02-01T01:45:01.743Z"
"1978SP","Spring Quarter 1978","1978-03-29","","1978-06-16","1977","","","","","","2020-02-01T01:45:01.775Z"
"1978SU","Summer Quarter 1978","1978-07-06","","1978-09-22","1977","","","","","","2020-02-01T01:45:01.853Z"
"1978FA","Fall Quarer 1978","1978-09-29","","1978-12-19","1978","","","","","","2020-02-01T01:45:01.821Z"
"1979CE","1979CE","1978-12-01","","1979-11-30","1979","","","","","","2020-02-01T01:45:01.821Z"
"1979WI","Winter Quarter 1979","1979-01-03","","1979-03-22","1978","","","","","","2020-02-01T01:45:02.103Z"
"1979SP","Spring Quarter 1979","1979-03-28","","1979-06-15","1978","","","","","","2020-02-01T01:45:02.150Z"
"1979SU","Summer Quarter 1979","1979-07-06","","1979-09-21","1978","","","","","","2020-02-01T01:45:01.728Z"
"1979FA","Fall Quarter 1979","1979-09-28","","1979-12-18","1979","","","","","","2020-02-01T01:45:01.696Z"
"1980CE","1980CE","1979-12-01","","1980-11-30","1980","","","","","","2020-02-01T01:45:01.696Z"
"1980WI","Winter Quarter 1980","1980-01-03","","1980-03-21","1979","","","","","","2020-02-01T01:45:01.946Z"
"1980SP","Spring Quarter 1980","1980-03-26","","1980-06-13","1979","","","","","","2020-02-01T01:45:01.993Z"
"1980SU","Summer Quarter 1980","1980-07-08","","1980-09-23","1979","","","","","","2020-02-01T01:45:02.056Z"
"1980FA","Fall Quarter 1980","1980-10-01","","1980-12-19","1980","","","","","","2020-02-01T01:45:02.040Z"
"1981CE","1981CE","1980-12-01","","1981-11-30","1981","","","","","","2020-02-01T01:45:02.040Z"
"1981WI","Winter Quarter 1981","1981-01-05","","1981-03-24","1980","","","","","","2020-02-01T01:45:01.790Z"
"1981SP","Spring Quarter 1981","1981-03-31","","1981-06-18","1980","","","","","","2020-02-01T01:45:01.837Z"
"1981SU","Summer Quarter 1981","1981-07-07","","1981-09-22","1980","","","","","","2020-02-01T01:45:01.915Z"
"1981FA","Fall Quarter 1981","1981-10-01","","1981-12-19","1981","","","","","","2020-02-01T01:45:01.868Z"
"1982CE","1982CE","1981-12-01","","1982-11-30","1982","","","","","","2020-02-01T01:45:01.884Z"
"1982WI","Winer Quarter 1982","1982-01-04","","1982-03-23","1981","","","","","","2020-02-01T01:45:02.150Z"
"1982SP","Spring Quarter 1982","1982-03-29","","1982-06-15","1981","","","","","","2020-02-01T01:45:01.712Z"
"1982SU","Summer Quarter 1982","1982-07-06","","1982-09-21","1981","","","","","","2020-02-01T01:45:01.759Z"
"1982FA","Fall Quarter 1982","1982-09-29","","1982-12-16","1982","","","","","","2020-02-01T01:45:01.743Z"
"1983CE","1983CE","1982-12-01","","1983-11-30","1983","","","","","","2020-02-01T01:45:01.743Z"
"1983WI","Winter Quarter 1983","1983-01-04","","1983-03-23","1982","","","","","","2020-02-01T01:45:01.993Z"
"1983SP","Spring Quarter 1983","1983-03-29","","1983-06-15","1982","","","","","","2020-02-01T01:45:02.056Z"
"1983SU","Summer Quarter 1983","1983-07-06","","1983-09-21","1982","","","","","","2020-02-01T01:45:02.134Z"
"1983FA","Fall Quarter 1983","1983-09-28","","1983-12-15","1983","","","","","","2020-02-01T01:45:02.087Z"
"1984CE","1984CE","1983-12-01","","1984-11-30","1984","","","","","","2020-02-01T01:45:02.087Z"
"1984WI","Winter Quarter 1984","1984-01-03","","1984-03-21","1983","","","","","","2020-02-01T01:45:01.837Z"
"1984SP","Spring Quarter 1984","1984-03-27","","1984-06-13","1983","","","","","","2020-02-01T01:45:01.900Z"
"1984SU","Summer Quarter 1984","1984-07-10","","1984-09-25","1983","","","","","","2020-02-01T01:45:01.962Z"
"1984FA","Fall Quarter 1984","1984-10-03","","1984-12-20","1984","","","","","","2020-02-01T01:45:01.931Z"
"1985CE","1985CE","1984-12-01","","1985-11-30","1985","","","","","","2020-02-01T01:45:01.946Z"
"1985WI","Winter Quarter 1985","1985-01-03","","1985-03-20","1984","","","","","","2020-02-01T01:45:01.712Z"
"1985SP","Spring Quarter 1985","1985-03-26","","1985-06-12","1984","","","","","","2020-02-01T01:45:01.759Z"
"1985SU","Summer Quarter 1985","1985-07-09","","1985-09-24","1984","","","","","","2020-02-01T01:45:01.806Z"
"1985FA","Fall Quarter 1985","1985-10-03","","1985-12-20","1985","","","","","","2020-02-01T01:45:01.790Z"
"1986CE","1986CE","1985-12-01","","1986-11-30","1986","","","","","","2020-02-01T01:45:01.775Z"
"1986WI","Winter Quarter 1986","1986-01-07","","1986-03-24","1985","","","","","","2020-02-01T01:45:02.040Z"
"1986SP","Spring Quarter 1986","1986-04-02","","1986-06-11","1985","","","","","","2020-02-01T01:45:02.103Z"
"1986SU","Summer Quarter 1986","1986-06-17","","1986-08-29","1985","","","","","","2020-02-01T01:45:01.681Z"
"1986FA","Fall Quarter 1986","1986-09-04","","1986-11-21","1986","","","","","","2020-02-01T01:45:02.150Z"
"1987CE","1987CE","1986-12-01","","1987-11-30","1987","","","","","","2020-02-01T01:45:02.150Z"
"1987WI","Winter Quarter 1987","1986-12-02","","1987-03-03","1986","","","","","","2020-02-01T01:45:01.884Z"
"1987SP","Spring Quarter 1987","1987-03-10","","1987-05-27","1986","","","","","","2020-02-01T01:45:01.946Z"
"1987SU","Summer Quarter 1987","1987-06-02","","1987-08-25","1986","","","","","","2020-02-01T01:45:02.025Z"
"1987FA","Fall Quarter 1987","1987-09-08","","1987-11-24","1987","","","","","","2020-02-01T01:45:01.993Z"
"1988CE","1988CE","1987-12-01","","1988-11-30","1988","","","","","","2020-02-01T01:45:01.993Z"
"1988WI","Winter Quarter 1988","1987-12-02","","1988-03-02","1987","","","","","","2020-02-01T01:45:01.759Z"
"1988SP","Spring Quarter 1988","1988-03-10","","1988-05-27","1987","","","","","","2020-02-01T01:45:01.790Z"
"1988SU","Summer Quarter 1988","1988-06-01","","1988-08-23","1987","","","","","","2020-02-01T01:45:01.853Z"
"1988FA","Fall Quarter 1988","1988-09-08","","1988-11-23","1988","","","","","","2020-02-01T01:45:01.837Z"
"1989CE","1989CE","1988-12-01","","1989-11-30","1989","","","","","","2020-02-01T01:45:01.821Z"
"1989WI","Winter Quarter 1989","1988-12-01","","1989-03-01","1988","","","","","","2020-02-01T01:45:02.103Z"
"1989SP","Spring Quarter 1989","1989-03-08","","1989-05-25","1988","","","","","","2020-02-01T01:45:01.665Z"
"1989SU","Summer Quarter 1989","1989-06-01","","1989-08-23","1988","","","","","","2020-02-01T01:45:01.728Z"
"1989FA","Fall Quarter 1989","1989-09-07","","1989-11-22","1989","","","","","","2020-02-01T01:45:01.712Z"
"1990WI","Winter Quarter 1990","1989-11-30","","1990-02-28","1989","","","","","","2020-02-01T01:45:01.946Z"
"1990CE","1990CE","1989-12-01","","1990-11-30","1990","","","","","","2020-02-01T01:45:01.712Z"
"1990SP","Spring Quarter 1990","1990-03-07","","1990-05-24","1989","","","","","","2020-02-01T01:45:02.009Z"
"1990SU","Summer Quarter 1990","1990-05-31","","1990-08-22","1989","","","","","","2020-02-01T01:45:02.087Z"
"1990FA","Fall Quarter 1990","1990-09-06","","1990-11-21","1990","","","","","","2020-02-01T01:45:02.056Z"
"1991WI","Winter Quarter 1991","1990-11-29","","1991-02-28","1990","","","","","","2020-02-01T01:45:01.790Z"
"1991CE","1991CE","1990-12-01","","1991-11-30","1991","","","","","","2020-02-01T01:45:02.040Z"
"1991SP","Spring Quarter 1991","1991-03-06","","1991-05-23","1990","","","","","","2020-02-01T01:45:01.853Z"
"1991SU","Summer Quarter 1991","1991-05-30","","1991-08-21","1990","","","","","","2020-02-01T01:45:01.931Z"
"1991FA","Fall Quarter 1991","1991-09-05","","1991-11-21","1991","","","","","","2020-02-01T01:45:01.900Z"
"1992CE","1992CE","1991-12-01","","1992-11-30","1992","","","","","","2020-02-01T01:45:01.884Z"
"1992WI","Winter Quarter 1992","1991-12-03","","1992-03-02","1991","","","","","","2020-02-01T01:45:01.681Z"
"1992SP","Spring Quarter 1992","1992-03-10","","1992-05-28","1991","","","","","","2020-02-01T01:45:01.728Z"
"1992SU","Summer Quarter 1992","1992-06-04","","1992-08-26","1991","","","","","","2020-02-01T01:45:01.759Z"
"1992FA","Fall Quarter 1992","1992-09-10","","1992-11-25","1992","","","","","","2020-02-01T01:45:01.759Z"
"1993CE","1993CE","1992-12-01","","1993-11-30","1993","","","","","","2020-02-01T01:45:01.743Z"
"1993WI","Winter Quarter 1993","1992-12-03","","1993-03-03","1992","","","","","","2020-02-01T01:45:02.009Z"
"1993SP","Spring Quarter 1993","1993-03-10","","1993-05-27","1992","","","","","","2020-02-01T01:45:02.071Z"
"1993SU","Summer Quarter 1993","1993-06-03","","1993-08-25","1992","","","","","","2020-02-01T01:45:02.134Z"
"1993FA","Fall Quarter 1993","1993-09-09","","1993-11-24","1993","","","","","","2020-02-01T01:45:02.103Z"
"1994CE","1994CE","1993-12-01","","1994-11-30","1994","","","","","","2020-02-01T01:45:02.103Z"
"1994WI","Winter Quarter 1994","1993-12-02","","1994-03-02","1993","","","","","","2020-02-01T01:45:01.853Z"
"1994SP","Spring Quarter 1994","1994-03-09","","1994-05-26","1993","","","","","","2020-02-01T01:45:01.900Z"
"1994SU","Summer Quarter 1994","1994-06-02","","1994-08-24","1993","","","","","","2020-02-01T01:45:01.978Z"
"1994FA","Fall Quarter 1994","1994-08-31","","1994-11-20","1994","","","","","","2020-02-01T01:45:01.946Z"
"1995WI","Winter Quarter 1995","1994-12-01","","1995-03-02","1994","","","","","","2020-02-01T01:45:01.728Z"
"1995CE1","Spring 1995CE1","1995-01-01","","1995-05-15","1995","","","","","","2020-02-01T01:45:01.775Z"
"1995CE2","Summer 1995CE2","1995-05-16","","1995-08-14","1995","","","","","","2020-02-01T01:45:01.790Z"
"1995CE3","Fall 1995CE3","1995-08-15","","1995-12-31","1995","","","","","","2020-02-01T01:45:01.806Z"
"1995SP","Spring Quarter 1995","1995-03-06","","1995-05-23","1994","","","","","","2020-02-01T01:45:01.759Z"
"1995SU","Summer Quarter 1995","1995-06-01","","1995-08-23","1994","","","","","","2020-02-01T01:45:01.821Z"
"1995FA","Fall Quarter 1995","1995-08-31","","1995-11-20","1995","","","","","","2020-02-01T01:45:01.790Z"
"1996WI","Winter Quarter 1996","1995-11-30","","1996-02-28","1995","","","","","","2020-02-01T01:45:02.071Z"
"1996CE1","Spring 1996CE1","1996-01-01","","1996-05-15","1996","","","","","","2020-02-01T01:45:01.790Z"
"1996CE2","Summer 1996CE2","1996-05-16","","1996-08-14","1996","","","","","","2020-02-01T01:45:01.806Z"
"1996CE3","Fall 1996CE3","1996-08-15","","1996-12-31","1996","","","","","","2020-02-01T01:45:01.821Z"
"1996SP","Spring Quarter 1996","1996-03-06","","1996-05-23","1995","","","","","","2020-02-01T01:45:02.118Z"
"1996SU","Summer Quarter 1996","1996-05-30","","1996-08-21","1995","","","","","","2020-02-01T01:45:01.696Z"
"1996FA","Fall Quarter 1996","1996-09-09","","1996-11-22","1996","","","","","","2020-02-01T01:45:01.681Z"
"1997WI","Winter Quarter 1997","1996-12-04","","1997-03-03","1996","","","","","","2020-02-01T01:45:01.900Z"
"1997CE1","Spring 1997CE1","1997-01-01","","1997-05-15","1997","","","","","","2020-02-01T01:45:01.806Z"
"1997CE2","Summer 1997CE2","1997-05-16","","1997-08-14","1997","","","","","","2020-02-01T01:45:01.821Z"
"1997CE3","Fall 1997CE3","1997-08-15","","1997-12-31","1997","","","","","","2020-02-01T01:45:01.837Z"
"1997SP","Spring Quarter 1997","1997-03-06","","1997-05-22","1996","","","","","","2020-02-01T01:45:01.962Z"
"1997SU","Summer Semester 1997","1997-05-28","","1997-08-07","1996","","","","","","2020-02-01T01:45:02.025Z"
"1997FA","Fall Semester 1997","1997-08-20","","1997-12-17","1997","","","","","","2020-02-01T01:45:02.009Z"
"1998CE1","Spring 1998CE1","1998-01-01","","1998-05-15","1998","","","","","","2020-02-01T01:45:01.806Z"
"1998CE2","Summer 1998CE2","1998-05-16","","1998-08-14","1998","","","","","","2020-02-01T01:45:01.837Z"
"1998CE3","Fall 1998CE3","1998-08-15","","1998-12-31","1998","","","","","","2020-02-01T01:45:01.853Z"
"1998SP","Spring Semester 1998","1998-01-06","","1998-05-07","1997","","","","","","2020-02-01T01:45:01.806Z"
"1998SU","Summer Semester 1998","1998-05-18","","1998-07-27","1997","","","","","","2020-02-01T01:45:01.868Z"
"1998FA","Fall Semester 1998","1998-08-19","","1998-12-16","1998","","","","","","2020-02-01T01:45:01.837Z"
"1999CE1","Spring 1999CE1","1999-01-01","","1999-05-15","1999","","","","","","2020-02-01T01:45:01.821Z"
"1999CE2","Summer 1999CE2","1999-05-16","","1999-08-14","1999","","","","","","2020-02-01T01:45:01.853Z"
"1999CE3","Fall 1999CE3","1999-08-15","","1999-12-31","1999","","","","","","2020-02-01T01:45:01.868Z"
